Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "gCore.brd" as of: 8/4/22 4:07 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.591,0.315,180
C2,Top,0.591,0.394,180
C3,Top,0.374,0.866,90
C4,Top,1.378,0.787,0
C5,Top,1.378,0.709,0
C6,Top,1.496,0.669,90
C7,Top,1.142,0.669,180
C8,Top,1.654,1.063,0
C9,Top,1.181,0.984,180
C10,Top,1.004,0.965,0
C11,Top,1.063,1.122,0
C12,Top,1.063,1.260,90
C13,Top,0.748,1.260,90
C14,Top,1.496,1.063,0
C15,Top,1.496,1.299,0
C16,Top,0.610,0.945,0
C17,Top,0.138,1.063,90
C18,Top,0.374,1.063,90
C19,Top,0.787,2.165,180
C20,Top,0.807,2.362,90
C21,Top,0.728,2.362,90
C22,Top,0.138,1.220,180
C23,Top,0.138,1.299,180
C24,Top,2.185,1.142,180
C25,Top,2.126,1.496,180
C26,Top,2.126,1.929,180
C27,Top,2.244,1.634,0
C28,Top,2.559,0.551,90
C29,Top,1.890,0.354,0
CON1,Top,0.098,0.472,270
CON2,Top,1.142,0.197,270
CON3,Top,2.494,1.309,90
CON4,Top,2.441,2.008,180
CON5,Top,2.795,2.047,90
CON6,Top,2.913,2.047,90
CON7,Top,2.677,2.047,90
CON8,Top,0.630,1.811,0
CON9,Top,0.630,1.890,0
CON10,Top,0.630,1.496,0
CON11,Top,0.630,1.575,0
CON12,Top,0.630,1.732,0
CON13,Top,0.630,1.654,0
CON14,Top,0.630,1.969,0
D1,Top,0.433,0.472,270
D2,Top,0.059,0.906,90
F1,Top,1.693,0.472,90
J1,Top,1.500,0.492,90
L1,Top,1.319,1.181,180
M1,Top,1.260,2.067,0
PB1,Top,0.118,2.205,180
PB2,Top,0.433,2.323,180
Q1,Top,1.654,0.866,180
Q2,Top,0.512,2.047,270
Q3,Top,0.709,2.047,90
Q4,Top,0.118,1.929,90
Q5,Top,2.756,0.591,0
Q6,Top,2.953,0.591,0
Q7,Top,1.890,0.571,180
Q8,Top,1.890,0.236,180
R1,Top,0.098,0.728,0
R2,Top,0.098,0.807,180
R3,Top,0.945,0.276,90
R4,Top,0.748,0.276,270
R5,Top,0.827,0.276,90
R6,Top,0.394,0.709,270
R7,Top,0.295,0.866,270
R8,Top,1.752,0.256,90
R9,Top,1.063,0.591,180
R10,Top,1.063,0.512,0
R11,Top,1.535,0.413,180
R12,Top,1.535,0.571,180
R13,Top,1.398,0.413,0
R14,Top,1.063,0.433,0
R15,Top,0.984,0.748,180
R16,Top,1.004,0.886,0
R17,Top,1.378,0.886,0
R18,Top,1.063,1.043,0
R19,Top,1.654,0.709,270
R20,Top,1.654,0.984,180
R21,Top,1.654,1.142,180
R22,Top,1.693,1.260,90
R23,Top,1.614,1.260,90
R24,Top,0.472,1.260,180
R25,Top,0.709,0.866,180
R26,Top,0.551,0.866,180
R27,Top,0.157,0.906,0
R28,Top,0.059,1.063,270
R29,Top,0.315,2.087,0
R30,Top,0.433,1.929,0
R31,Top,0.315,2.008,180
R32,Top,0.787,2.244,180
R33,Top,0.787,1.634,180
R34,Top,1.732,1.634,0
R35,Top,0.787,1.791,180
R36,Top,1.732,1.713,0
R37,Top,1.732,1.791,0
R38,Top,2.087,2.087,90
R39,Top,2.165,2.087,90
R40,Top,2.165,0.748,0
R41,Top,2.362,0.748,0
R42,Top,2.756,0.433,0
R43,Top,2.953,0.433,0
R44,Top,2.087,1.634,0
R45,Top,1.732,1.988,0
R46,Top,1.732,2.343,0
R47,Top,1.890,0.453,180
S1,Top,0.020,1.575,270
TP1,Top,0.512,0.787,0
TP2,Top,0.612,0.787,0
TP3,Top,0.712,0.787,0
TP4,Top,0.812,0.787,0
U1,Top,0.787,0.472,0
U2,Top,1.299,0.551,0
U3,Top,1.181,0.866,270
U4,Top,0.906,1.260,90
U5,Top,1.496,1.181,90
U6,Top,0.591,1.102,90
U7,Top,0.256,1.063,90
U8,Top,2.185,0.984,0
U9,Top,2.126,1.339,0
U10,Top,2.126,1.772,0
U11,Top,2.402,0.551,180
XTAL1,Top,0.787,1.063,90
